scenario,init_guess,method,iteration,residual
no_foundation,random,picard,16,1.4130572495724016e-08
no_foundation,random,picard,17,4.585953727034412e-09
no_foundation,random,picard,18,1.488414442378431e-09
no_foundation,random,picard,19,4.831914518543663e-10
no_foundation,random,picard,20,1.5675724337644936e-10
no_foundation,random,picard,21,5.0731669533059165e-11
no_foundation,gauss,newton,1,106.7465414669004
no_foundation,gauss,newton,2,4.706616230425416
no_foundation,gauss,newton,3,0.11405406483126072
no_foundation,gauss,newton,4,0.0015705888581834756
no_foundation,gauss,newton,5,2.126828921518647e-07
no_foundation,gauss,newton,6,4.525410060550783e-14
no_foundation,gauss,picard,1,1.0102904850325802
no_foundation,gauss,picard,2,0.32105135322220874
no_foundation,gauss,picard,3,0.10322479976500083
no_foundation,gauss,picard,4,0.033024791151894294
no_foundation,gauss,picard,5,0.010818423452064263
no_foundation,gauss,picard,6,0.003494877020627488
no_foundation,gauss,picard,7,0.0011364347868900704
no_foundation,gauss,picard,8,0.0003685026490552422
no_foundation,gauss,picard,9,0.00011963026536182445
no_foundation,gauss,picard,10,3.881935501482407e-05
no_foundation,gauss,picard,11,1.2598903478897077e-05
no_foundation,gauss,picard,12,4.088739016128946e-06
no_foundation,gauss,picard,13,1.3269578508342361e-06
no_foundation,gauss,picard,14,4.306467698865764e-07
no_foundation,gauss,picard,15,1.3976114222687504e-07
no_foundation,gauss,picard,16,4.5357596442656896e-08
no_foundation,gauss,picard,17,1.4720306904946595e-08
no_foundation,gauss,picard,18,4.7773469295508e-09
no_foundation,gauss,picard,19,1.5503370554600754e-09
no_foundation,gauss,picard,20,5.031956367304591e-10
no_foundation,gauss,picard,21,1.6343362105651255e-10
no_foundation,gauss,picard,22,5.3018464378958703e-11
no_foundation,zero,newton,1,0.265329983228432
no_foundation,zero,newton,2,1.4693285477298068
no_foundation,zero,newton,3,0.016686609236309817
no_foundation,zero,newton,4,0.00012245218423759412
no_foundation,zero,newton,5,1.0014131684199316e-09
no_foundation,zero,newton,6,3.5920287615976306e-14
no_foundation,zero,picard,1,1.0
no_foundation,zero,picard,2,0.1782505811185024
no_foundation,zero,picard,3,0.06730497944680991
no_foundation,zero,picard,4,0.02071267091194277
no_foundation,zero,picard,5,0.0068495815662706384
no_foundation,zero,picard,6,0.0022060981543352903
no_foundation,zero,picard,7,0.0007178376141877552
no_foundation,zero,picard,8,0.00023271345246661128
no_foundation,zero,picard,9,7.555086448081027e-05
no_foundation,zero,picard,10,2.4515400023165805e-05
no_foundation,zero,picard,11,7.956529951704354e-06
no_foundation,zero,picard,12,2.582139629542098e-06
no_foundation,zero,picard,13,8.380062488204279e-07
no_foundation,zero,picard,14,2.719637225112733e-07
no_foundation,zero,picard,15,8.826241008226641e-08
no_foundation,zero,picard,16,2.864450192797361e-08
no_foundation,zero,picard,17,9.296277166403202e-09
no_foundation,zero,picard,18,3.017022644755758e-09
no_foundation,zero,picard,19,9.790520517936823e-10
no_foundation,zero,picard,20,3.1761564618319633e-10
no_foundation,zero,picard,21,1.0308265948119796e-10
no_foundation,zero,picard,22,3.341450646630419e-11
no_foundation,linear,newton,1,1.4693285477300007
no_foundation,linear,newton,2,0.016686609236306615
no_foundation,linear,newton,3,0.00012245218423531434
no_foundation,linear,newton,4,1.0014234276649405e-09
no_foundation,linear,newton,5,4.279336161367251e-14
no_foundation,linear,picard,1,0.1782505811185024
no_foundation,linear,picard,2,0.06730497944680991
no_foundation,linear,picard,3,0.02071267091194277
no_foundation,linear,picard,4,0.0068495815662706384
no_foundation,linear,picard,5,0.0022060981543352903
no_foundation,linear,picard,6,0.0007178376141877552
no_foundation,linear,picard,7,0.00023271345246661128
no_foundation,linear,picard,8,7.555086448081027e-05
no_foundation,linear,picard,9,2.4515400023165805e-05
no_foundation,linear,picard,10,7.956529951704354e-06
no_foundation,linear,picard,11,2.582139629542098e-06
no_foundation,linear,picard,12,8.380062488204279e-07
no_foundation,linear,picard,13,2.719637225112733e-07
no_foundation,linear,picard,14,8.826241008226641e-08
no_foundation,linear,picard,15,2.864450192797361e-08
no_foundation,linear,picard,16,9.296277166403202e-09
no_foundation,linear,picard,17,3.017022644755758e-09
no_foundation,linear,picard,18,9.790520517936823e-10
no_foundation,linear,picard,19,3.1761564618319633e-10
no_foundation,linear,picard,20,1.0308265948119796e-10
no_foundation,linear,picard,21,3.341450646630419e-11
