scenario,init_guess,iteration,residual
no_foundation,gauss,15,623.4950629693165
no_foundation,gauss,16,584.8947617617007
no_foundation,gauss,17,575.7901185608321
no_foundation,gauss,18,566.8217130185748
no_foundation,gauss,19,557.9935149346126
no_foundation,gauss,20,553.6413238550631
no_foundation,gauss,21,519.3758757387052
no_foundation,gauss,22,518.8692507207244
no_foundation,gauss,23,518.7426689911126
no_foundation,gauss,24,510.6661958556011
no_foundation,gauss,25,506.68563354806963
no_foundation,gauss,26,498.79949299067084
no_foundation,gauss,27,491.03438648869405
no_foundation,gauss,28,483.383941343266
no_foundation,gauss,29,475.85694919405637
no_foundation,gauss,30,475.6246821785491
no_foundation,gauss,31,417.5459726972069
no_foundation,gauss,32,411.0380891650499
no_foundation,gauss,33,404.6288916800693
no_foundation,gauss,34,355.30956986152574
no_foundation,gauss,35,349.7753184319699
no_foundation,gauss,36,307.22555494137174
no_foundation,gauss,37,306.6259510387285
no_foundation,gauss,38,287.75237358322187
no_foundation,gauss,39,287.47161063208443
no_foundation,gauss,40,252.74114521503645
no_foundation,gauss,41,251.7627308905257
no_foundation,gauss,42,221.36093642328908
no_foundation,gauss,43,207.78492052632515
no_foundation,gauss,44,195.03910592448602
no_foundation,gauss,45,192.00848726038254
no_foundation,gauss,46,123.57690127668364
no_foundation,gauss,47,67.17790027903635
no_foundation,gauss,48,23.872168716238686
no_foundation,gauss,49,7.894398940379501
no_foundation,gauss,50,1.8182792617655759
no_foundation,zero,1,5.333333333333333e-05
no_foundation,zero,2,4.06301176529688e-05
no_foundation,zero,3,3.7142411221118346e-05
no_foundation,zero,4,3.558260860755426e-05
no_foundation,zero,5,3.346777795010594e-05
no_foundation,zero,6,1.2512558893160164e-05
no_foundation,zero,7,1.5052918654612224e-08
no_foundation,zero,8,1.9684254226604025e-13
no_foundation,linear,1,0.00046530663545896883
no_foundation,linear,2,4.128392987981511e-06
no_foundation,linear,3,4.214694321325041e-08
no_foundation,linear,4,3.1077224127429304e-13
