scenario,k1,k2,init_guess,init_seed,init_scale,w_linear,w_nonlinear,ref_linear,ref_nonlinear,nl_final_res,elapsed_s,init_strategy
with_foundation,0.01,0.001,random,0,0.01,-0.46833958713851925,-0.42895223209881467,-0.46834,-0.42895,5.602984502418862e-05,72.0891501903534,random
with_foundation,0.01,0.001,gauss,0,0.01,-0.46833958713851925,-0.06228212413152892,-0.46834,-0.42895,309.9886080070472,73.84672784805298,gauss
with_foundation,0.01,0.001,zero,0,0.01,-0.46833958713851925,-0.42895223212727457,-0.46834,-0.42895,1.2720120096121335e-13,10.28239369392395,zero
with_foundation,0.01,0.001,linear,0,0.01,-0.46833958713851925,-0.4289522321090156,-0.46834,-0.42895,1.1600442828552104e-13,5.880652189254761,linear
no_foundation,0.0,0.0,random,0,0.01,-0.5211261268211423,-0.04333735883068106,-0.52113,-0.4652,76.32419218102069,63.95764923095703,random
no_foundation,0.0,0.0,gauss,0,0.01,-0.5211261268211423,-0.46782793264021943,-0.52113,-0.4652,1.8182792617655759,67.50010108947754,gauss
no_foundation,0.0,0.0,zero,0,0.01,-0.5211261268211423,-0.46520040510414734,-0.52113,-0.4652,1.9684254226604025e-13,8.946678876876831,zero
no_foundation,0.0,0.0,linear,0,0.01,-0.5211261268211423,-0.46520040519070777,-0.52113,-0.4652,3.1077224127429304e-13,5.2736968994140625,linear
