attempt,iterations,elapsed_s,final_loss,w_max,physical_valid,selected
1,18141,289.093250,6.781551424194251e-10,4.652008402099621631e-01,True,True
2,946,12.301496,6.781552278212531e-10,4.652008269489126269e-01,True,False
3,12569,197.368831,2.174897254563898e-09,4.654919045410611522e-01,True,False
