attempt,iterations,elapsed_s,final_loss,w_max,physical_valid,selected
1,5,0.102709,1.6436961226085204e-23,4.289526660241765321e-01,True,True
2,5,0.103372,1.6436961226085204e-23,4.289526660241765321e-01,True,False
3,5,0.103959,1.6436961226085204e-23,4.289526660241765321e-01,True,False
