iter,linear_loss,nonlinear_loss
0,15369.896834888694,15516.283383764476
1,77.16105759335834,82.70806036154276
2,4.896060528590788,4.935587449432274
3,1.9256827533279388,1.982787931921989
4,1.2068523119263377,1.2598445871146595
5,0.8332431465420509,0.8671289694731303
6,0.5666193702193042,0.5864935013904419
7,0.3603856754143071,0.37146571295632735
8,0.2111614288198007,0.2167853372903863
9,0.11920324872408146,0.12168603620403805
10,0.07410660862775467,0.07505393081087756
11,0.057124083213302784,0.05745568499029258
12,0.05395193795115438,0.054157480224936244
13,0.05395193300729584,0.05415747508928332
14,0.05116228336327322,0.05126669604309809
15,0.05116227862755665,0.05126669117192466
16,0.045956132438143595,0.04595295802505171
17,0.04595612826603774,0.04595295383159958
18,0.0410195296253883,0.04100440676022154
19,0.04101952587600614,0.04100440301612689
20,0.03880626746689327,0.03879513289005032
21,0.03880626380950742,0.03879512924040749
22,0.0368378343652336,0.03683117447651443
23,0.03683783162563579,0.0368311717426227
24,0.03683782843501327,0.03683116855840097
25,0.036371939201093155,0.036366152957674494
26,0.035461341730636774,0.03545694908313876
27,0.03501673483298003,0.035012764483840865
28,0.031464666354401406,0.03147222723167543
29,0.027797297334577913,0.027805290750117905
30,0.023344117581714216,0.023349992111086848
31,0.018271730253963954,0.018250616844784514
32,0.012986487741769576,0.012899927808412906
33,0.008103294336583954,0.007910247808610882
34,0.004255517159660683,0.0039125268308960355
35,0.0017879830822561606,0.0013497174538372259
36,0.0005672762933224585,0.00026716835809841813
37,0.00012770256735076434,2.8172090092564462e-05
38,1.915002415195193e-05,1.7411131120926166e-06
39,1.8013612321441055e-06,6.591767020129926e-08
40,1.0070862016370974e-07,1.432951449706832e-09
41,3.1962105934878236e-09,1.6850766884564886e-11
42,5.5476408680081365e-11,1.0384503821541641e-13
43,5.114510593279797e-13,3.2892095666667993e-16
44,2.449532420092414e-15,5.281910489853508e-19
45,5.994897506698363e-18,4.257228832594979e-22
46,7.406087179361686e-21,
