iter,linear_loss,nonlinear_loss
0,15369.896834888694,2.1589263772080156
1,77.16105759335834,0.8511291884640523
2,4.896060528590788,0.2890992037584925
3,1.9256827533279388,0.10732441233311349
4,1.2068523119263377,0.06061205615102186
5,0.8332431465420509,0.04383912724445015
6,0.5666193702193042,0.0310207063043739
7,0.3603856754143071,0.01958142141997166
8,0.2111614288198007,0.010649529963848376
9,0.11920324872408146,0.004972025402167302
10,0.07410660862775467,0.0021857700820049632
11,0.057124083213302784,0.0011812654807379192
12,0.05395193795115438,0.0009187150597715263
13,0.05395193300729584,0.0009187149790001903
14,0.05116228336327322,0.0008952784961963841
15,0.05116227862755665,0.0008896321330314922
16,0.045956132438143595,0.0008433780745927391
17,0.04595612826603774,0.0008433779955981565
18,0.0410195296253883,0.0007580707230541337
19,0.04101952587600614,0.0007580706640933429
20,0.03880626746689327,0.0007532806847834099
21,0.03880626380950742,0.0007134467968195977
22,0.0368378343652336,0.0007134467350277892
23,0.03683783162563579,0.0006953663052866739
24,0.03683782843501327,0.0006909821435407456
25,0.036371939201093155,0.0006546466666927729
26,0.035461341730636774,0.0006377949264316017
27,0.03501673483298003,0.0005606495081410229
28,0.031464666354401406,0.0004735429035513181
29,0.027797297334577913,0.00037439296412611155
30,0.023344117581714216,0.0002706886532399158
31,0.018271730253963954,0.0001737597076511778
32,0.012986487741769576,9.545781040857361e-05
33,0.008103294336583954,4.292292185692042e-05
34,0.004255517159660683,1.4986198185427642e-05
35,0.0017879830822561606,3.826721710409995e-06
36,0.0005672762933224585,6.703946348346938e-07
37,0.00012770256735076434,7.562926040522109e-08
38,1.915002415195193e-05,5.182771274361274e-09
39,1.8013612321441055e-06,2.0514065823195774e-10
40,1.0070862016370974e-07,4.5004959521461655e-12
41,3.1962105934878236e-09,5.298343328219859e-14
42,5.5476408680081365e-11,3.265531657884084e-16
43,5.114510593279797e-13,1.0343372533083872e-18
44,2.449532420092414e-15,1.6612912110652508e-21
45,5.994897506698363e-18,
46,7.406087179361686e-21,
