attempt,iterations,elapsed_s,final_loss,w_max,physical_valid,selected
1,45,0.551415,1.6612912110652508e-21,4.652009185710250794e-01,True,True
2,45,0.575888,1.6612912110652508e-21,4.652009185710250794e-01,True,False
3,45,0.559114,1.6612912110652508e-21,4.652009185710250794e-01,True,False
