attempt,iterations,elapsed_s,final_loss,w_max,physical_valid,selected
1,27570,470.070800,5.78997076431824e-10,4.289526005510764795e-01,True,False
2,15261,251.921249,0.05115339784856348,4.235842869598497873e-01,True,False
3,24629,416.665532,5.789970164536844e-10,4.289526008403848345e-01,True,True
