attempt,iterations,elapsed_s,final_loss,w_max,physical_valid,selected
1,50000,633.879153,5.450588607715973e-05,5.190163237396472340e-01,True,True
2,50000,638.633588,5.450588607715973e-05,5.190163237396472340e-01,True,False
3,50000,635.034185,5.450588607715973e-05,5.190163237396472340e-01,True,False
