iter,linear_loss,nonlinear_loss
0,1182.4525387587457,0.10996404199158413
1,293691.9476171292,507959.41519329447
2,1181.7255568455269,0.10848241630156763
3,694.8540251107788,5070.5126783826245
4,691.6703416123185,0.10722894738566678
5,443.9695336273276,50.12522813829544
6,442.6809683136718,0.10620083684464394
7,276.5739728220186,0.551664923581812
8,275.96790685123364,0.1053530445804613
9,172.32228070323458,0.34035097425114635
10,172.04290108122356,0.10465954150844878
11,115.81093959547607,0.10346227913562707
12,142.95727157410707,0.10274607475000194
13,115.16111464271376,0.10206533482457925
14,102.87484742872722,0.09596263528890148
15,102.61829590140741,0.07240985107566594
16,94.51455061364184,0.07271720757213124
17,1505.9966572464684,0.061740010836783446
18,94.42690493722888,0.05482766505684891
19,82.43507909246789,0.04897304655415082
20,76.29411917092229,0.037137184687659364
21,76.23839506261183,0.03100414387379447
22,76.23783839007783,0.024915926627243224
23,76.23783282340935,0.02077307431250586
24,76.23783276774267,0.0159394770431829
25,76.237832767186,0.01300541046134582
26,76.23783276718044,0.008342741903112587
27,76.23783276718038,0.006198005527445774
28,76.23783276718038,0.0067255695997383924
29,70.61817316947297,0.0017911364016958838
30,70.56612749373868,0.0015489830876432918
31,70.56560745207334,0.0013864229222736617
32,70.56560225169822,0.0013086122340144122
33,70.56560219969448,0.0011889475531113606
34,70.56560219917442,0.0010296954146482875
35,70.56560219916922,0.0010035308884011073
36,70.56560219916918,0.0009911220705922002
37,70.56560219916918,0.000986017482270704
38,47570.38292751358,0.0009829624950170321
39,70.37314909905034,0.0009786215849156598
40,380.9829880499341,0.0009709167618327173
41,70.08178195664942,0.0009587663047442039
42,56.920124344525384,0.000937193558380945
43,57.15394479962909,0.0008975886453591482
44,53.40927487350532,0.000856356700400931
45,49.02225726667916,0.0008142435621735713
46,41.838470145540484,0.0007712818832569077
47,49.4861034079183,0.0007224465187718625
48,41.570451443159804,0.0006164341617425537
49,39.450664783195855,0.00039050190693121786
50,25.97624986350669,0.00023347174103572848
51,19.93632571836096,0.00013191303934409503
52,48.22113939628793,7.849626931734162e-05
53,19.811766019826514,6.58710100098596e-05
54,17.7425549466492,6.361784441196345e-05
55,18.15008616243729,6.224913445896061e-05
56,16.64269632620484,5.977328435981891e-05
57,21.508240689979353,5.549131830091516e-05
58,16.432871795801088,4.938590635955271e-05
59,15.491619674303871,4.548733437423013e-05
60,15.890426380803106,4.4553028456638696e-05
61,14.833431662217745,4.436616158589362e-05
62,13.249350296729489,4.4293992988287215e-05
63,12.7345141596495,4.420107478382952e-05
64,12.729568652525625,4.4136931900562996e-05
65,12.729519217739814,4.412019483585059e-05
66,12.729518723393983,4.411283797374691e-05
67,12.729518718450525,4.410221836732122e-05
68,12.729518718401092,4.407863828626798e-05
69,12.729518718400595,4.402482059905654e-05
70,12.729518718400591,4.390658486615602e-05
71,12.729518718400591,4.366754839936897e-05
72,9.544150797148363,4.326002386100295e-05
73,6.567716512798294,4.2751148139123626e-05
74,5.555209650007229,4.2304829349898246e-05
75,4.838254675542259,4.2068712334901085e-05
76,4.827951637523566,4.2007608103220915e-05
77,4.827615946424437,4.197903146587466e-05
78,4.827604770851109,4.193831914508465e-05
79,4.827604398537094,4.184814554554575e-05
80,4.827604386133165,4.165216033797443e-05
81,4.8276043857199165,4.125668702317712e-05
82,4.8276043857061515,4.058226683845016e-05
83,4.827604385705691,3.974235792109383e-05
84,4.827604385705676,3.9196387156535e-05
85,4.827604385705675,3.892412189386837e-05
86,4.827604385705675,3.882191799570283e-05
87,6585.136363538166,3.88132704579162e-05
88,4.795518552623451,3.881171329963074e-05
89,63.197463834688676,3.8810334112995296e-05
90,4.762371005032806,3.880702304151674e-05
91,4.659483649812905,3.8799457673570224e-05
92,4.5162164471360775,3.878279519580899e-05
93,4.6632584032707936,3.874922917718839e-05
94,4.496963138449811,3.868270661574858e-05
95,4.471410744712331,3.856410700537493e-05
96,4.88842828055132,3.8388266289537844e-05
97,4.455090653463586,3.8190647020276846e-05
98,4.4204360898840385,3.796197862625072e-05
99,4.333373286370037,3.7802244458550037e-05
100,4.246040188744015,3.759529011305711e-05
101,4.066720444289517,3.723003300073564e-05
102,3.655440565556008,3.649399785067681e-05
103,3.1304956997107203,3.523137086104761e-05
104,1.551248008269435,3.3195759365335765e-05
105,0.9267772481673341,3.0922722692160164e-05
106,1.9591285898145496,2.9674000698068235e-05
107,0.8907675870493594,2.9331913213231093e-05
108,0.7970497405279814,2.9280892514626815e-05
109,2.099846284129752,2.9274686048474748e-05
110,0.7763308208209198,2.9273332218051963e-05
111,0.7158620670219715,2.927251554141793e-05
112,12.111834301893769,2.9271439550538604e-05
113,0.7080102807938422,2.9269945093706183e-05
114,0.7289157332051581,2.9268309335810542e-05
115,0.6919069626152201,2.926739799402833e-05
116,0.6615720431422266,2.926703533754168e-05
117,0.6414077602231779,2.9266948581927976e-05
118,0.6399866683989179,2.9266931422717448e-05
119,0.6398815234911703,2.9266920364961778e-05
120,0.6398737163972363,2.9266862108360544e-05
121,0.6398731365622818,2.926682762687089e-05
122,0.6398730934969465,2.926681330210923e-05
123,0.6398730902984058,2.9266802455736453e-05
124,0.6398730900608443,2.926673565206837e-05
125,0.6398730900432001,2.926670892888556e-05
126,0.6398730900418896,2.9266695342567204e-05
127,0.6398730900417924,2.9266684569867153e-05
128,0.639873090041785,2.9266614634151437e-05
129,0.6398730900417846,2.926659070519932e-05
130,0.6398730900417845,2.9266577453071204e-05
131,0.6398730900417845,2.9266566701066936e-05
132,18.183560896860293,2.9266495173859064e-05
133,0.5671904585906072,2.926647272228093e-05
