iter,linear_loss,nonlinear_loss
0,7684.948417444347,7758.141691882238
1,1.1657920714936066e-05,16.994017134705146
2,9.049213352971127e-10,0.01640385873997574
3,7.897249189439651e-15,2.3469029257672846e-06
4,,5.423422839624969e-14
5,,9.97367761802807e-23
