iter,linear_loss,nonlinear_loss
0,7685.941501931821,0.7147659552888426
1,7.741747583974334e-06,3.884417456089922e-05
2,3.958147107406007e-10,1.0306896914757754e-09
3,2.270147241366856e-15,6.750935441699837e-17
4,,1.6436961226085204e-23
