iteration_linear,loss_linear,iteration_nonlinear,loss_nonlinear
0.0,18336.301729119892,0,1.2596926554723265
1.0,1.4002304657805542e-05,1,0.00014854594344020889
2.0,1.145403504297251e-09,2,2.3750421321150718e-08
3.0,1.0537282276604965e-14,3,1.0959314886542991e-15
,,4,3.0146975540051684e-22
