iter,linear_loss,nonlinear_loss
0,15371.883003863642,15518.346886511477
1,77.17592104559515,82.72558670757714
2,4.898734207172077,4.939107243575759
3,1.9264990992945377,1.9839127433101675
4,1.2071522752811106,1.2601566188797753
5,0.8332221047649174,0.8670564929934841
6,0.5664822851448514,0.5863079511137321
7,0.36030508081706913,0.37134829660427315
8,0.21117992066224767,0.21677848502015237
9,0.11928306746683363,0.12175168893192148
10,0.07420086840059131,0.0751427091369522
11,0.057200062889447484,0.057530793398985085
12,0.05400929757073276,0.05421494590339165
13,0.05400929257778253,0.05417255645898428
14,0.05118539250526093,0.05126548734611722
15,0.05118538769149587,0.051104820413451206
16,0.0458897967635688,0.04580047502711347
17,0.04588979253906752,0.045800470819898256
18,0.04091718731554228,0.04085853458531149
19,0.040917183592094605,0.040858530895588954
20,0.038726330878366515,0.03868805532200978
21,0.03872632727460567,0.03868805175164702
22,0.03678343170055923,0.037649543395668804
23,0.036783428960175016,0.0371777925655943
24,0.036783425739226085,0.03670421790952824
25,0.035862959150137326,0.03578217479196386
26,0.03580680033311605,0.03567015856544593
27,0.033829636188887194,0.03371362173087594
28,0.030124896024314934,0.03003520471911603
29,0.02589603945930729,0.02582083246626074
30,0.020935148107176466,0.02086631460571538
31,0.01555100777286386,0.015459871244851871
32,0.010296413268242797,0.010143418162296088
33,0.005846445245789113,0.0055970251039471714
34,0.0027156862235499742,0.002377272823408687
35,0.0009766586462646224,0.0006735270234095308
36,0.00025590453644740776,0.00011110004918879078
37,4.585859999954332e-05,1.0498332076221925e-05
38,5.283576181804658e-06,5.990217724345839e-07
39,3.697549049163757e-07,2.0290892653833737e-08
40,1.4959548381476393e-08,3.8400337345753497e-10
41,3.358767681281709e-10,3.887079973218336e-12
42,4.0512347966001e-12,2.0506845138942935e-14
43,2.560300891289779e-14,5.540175693845996e-17
44,8.320647944255259e-17,7.568151731623361e-20
45,1.3715128406277868e-19,5.1828298673576815e-23
46,1.1347731226703614e-22,
