iter,linear_loss,nonlinear_loss
0,15371.883003863642,1.429533955335513
1,77.17592104559515,0.5607559145929848
2,4.898734207172077,0.1880376040924801
3,1.9264990992945377,0.06772783226576172
4,1.2071522752811106,0.03723844498217319
5,0.8332221047649174,0.02674071368012974
6,0.5664822851448514,0.018896556921410523
7,0.36030508081706913,0.01190732843086529
8,0.21117992066224767,0.006443729394858372
9,0.11928306746683363,0.0029658173274593213
10,0.07420086840059131,0.0012570097314096925
11,0.057200062889447484,0.0006414139377106941
12,0.05400929757073276,0.00048226256109815
13,0.05400929257778253,0.0004792390027831337
14,0.05118539250526093,0.000466614085926656
15,0.05118538769149587,0.00046071700156214476
16,0.0458897967635688,0.00044848939686689953
17,0.04588979253906752,0.0004257065111019096
18,0.04091718731554228,0.0004250407611029608
19,0.040917183592094605,0.00038232788565265827
20,0.038726330878366515,0.0003823278596752672
21,0.03872632727460567,0.00038232782767286814
22,0.03678343170055923,0.00037743063851805353
23,0.036783428960175016,0.00036752423785613674
24,0.036783425739226085,0.00036280051070938004
25,0.035862959150137326,0.0003438582267764464
26,0.03580680033311605,0.00032631718740030097
27,0.033829636188887194,0.0002866328456755007
28,0.030124896024314934,0.00024032324376322355
29,0.02589603945930729,0.00018794658976876419
30,0.020935148107176466,0.0001337330580737897
31,0.01555100777286386,8.387293340524828e-05
32,0.010296413268242797,4.4569834454469166e-05
33,0.005846445245789113,1.913498888441379e-05
34,0.0027156862235499742,6.279975853931233e-06
35,0.0009766586462646224,1.4818496141212597e-06
36,0.00025590453644740776,2.3585106308232284e-07
37,4.585859999954332e-05,2.3798834255148635e-08
38,5.283576181804658e-06,1.4394062924913134e-09
39,3.697549049163757e-07,4.974326670784819e-11
40,1.4959548381476393e-08,9.448065375112208e-13
41,3.358767681281709e-10,9.567916607045312e-15
42,4.0512347966001e-12,5.047908776622329e-17
43,2.560300891289779e-14,1.363747844684014e-19
44,8.320647944255259e-17,1.8637716537755347e-22
45,1.3715128406277868e-19,
46,1.1347731226703614e-22,
