attempt,iterations,elapsed_s,final_loss,w_max,physical_valid,selected
1,45,0.427235,1.8637716537755347e-22,4.289526660399755054e-01,True,True
2,45,0.430337,1.8637716537755347e-22,4.289526660399755054e-01,True,False
3,45,0.430834,1.8637716537755347e-22,4.289526660399755054e-01,True,False
