iteration_linear,loss_linear,iteration_nonlinear,loss_nonlinear
0.0,18885.592625044355,0,0.8341502922970405
1.0,9.071198099472895e-06,1,4.531849521432637e-05
2.0,4.638089035343048e-10,2,1.280033712180877e-09
3.0,2.6602488684767632e-15,3,8.210600176806142e-17
,,4,2.0001970303614203e-23
